#Label,X/Easting,Y/Northing,Z/Altitude,X_est,Y_est,Z_est
TIN - KhorramAbad - 14020519 -000053.JPG,241028.1734,3707495.027,1420.223,241016.9522,3707492.415,1376.964701
TIN - KhorramAbad - 14020519 -000054.JPG,241017.2218,3707495.28,1420.123,241008.3729,3707492.627,1377.092285
TIN - KhorramAbad - 14020519 -000055.JPG,240974.6554,3707496.584,1420.323,240963.8193,3707494.07,1377.285093
TIN - KhorramAbad - 14020519 -000056.JPG,240963.8903,3707496.953,1420.423,240955.2997,3707494.327,1377.349411
TIN - KhorramAbad - 14020519 -000057.JPG,240920.3696,3707498.033,1420.423,240909.4178,3707495.304,1377.653781
TIN - KhorramAbad - 14020519 -000058.JPG,240908.4381,3707498.174,1420.423,240900.9216,3707495.504,1377.681264
TIN - KhorramAbad - 14020519 -000059.JPG,240878.2465,3707498.911,1420.223,240874.9817,3707496.098,1378.177333
TIN - KhorramAbad - 14020519 -000060.JPG,240874.1919,3707498.703,1420.123,240871.5424,3707494.736,1378.317431
TIN - KhorramAbad - 14020519 -000061.JPG,240879.1699,3707449.606,1420.423,240878.449,3707446.618,1378.303145
TIN - KhorramAbad - 14020519 -000062.JPG,240902.5082,3707450.28,1420.523,240901.9087,3707447.353,1378.487693
TIN - KhorramAbad - 14020519 -000063.JPG,240924.5519,3707449.99,1420.423,240930.2822,3707447.068,1378.600031
TIN - KhorramAbad - 14020519 -000064.JPG,240957.3822,3707449.265,1420.323,240957.0835,3707446.393,1378.823713
TIN - KhorramAbad - 14020519 -000065.JPG,240978.8629,3707448.506,1420.423,240983.9949,3707445.442,1378.932262
TIN - KhorramAbad - 14020519 -000066.JPG,241011.1195,3707447.492,1420.423,241010.6894,3707444.631,1379.074343
TIN - KhorramAbad - 14020519 -000067.JPG,241032.6827,3707446.824,1420.423,241037.4329,3707443.815,1379.166562
TIN - KhorramAbad - 14020519 -000068.JPG,241086.6068,3707445.367,1420.523,241091.1162,3707442.405,1379.264056
TIN - KhorramAbad - 14020519 -000069.JPG,241118.8236,3707444.314,1420.523,241118.4419,3707441.51,1379.208343
TIN - KhorramAbad - 14020519 -000070.JPG,241140.4853,3707443.751,1420.523,241145.7388,3707440.805,1379.210875
TIN - KhorramAbad - 14020519 -000071.JPG,241172.8879,3707442.882,1420.523,241172.4957,3707440.143,1379.057899
TIN - KhorramAbad - 14020519 -000072.JPG,241194.5661,3707442.358,1420.523,241199.4539,3707439.459,1379.03286
TIN - KhorramAbad - 14020519 -000073.JPG,241218.5228,3707441.719,1420.423,241226.8113,3707438.815,1379.102778
TIN - KhorramAbad - 14020519 -000074.JPG,241254.1706,3707440.839,1420.423,241254.054,3707438.194,1378.988907
TIN - KhorramAbad - 14020519 -000075.JPG,241275.7261,3707440.27,1420.523,241280.6928,3707437.537,1378.91768
TIN - KhorramAbad - 14020519 -000076.JPG,241308.3549,3707439.549,1420.523,241307.9335,3707436.949,1378.789692
TIN - KhorramAbad - 14020519 -000077.JPG,241329.7914,3707438.978,1420.523,241334.9553,3707436.257,1378.628803
TIN - KhorramAbad - 14020519 -000078.JPG,241362.1365,3707438.086,1420.523,241361.9253,3707435.526,1378.467066
TIN - KhorramAbad - 14020519 -000079.JPG,241383.8035,3707437.529,1420.523,241388.8812,3707434.86,1378.349314
TIN - KhorramAbad - 14020519 -000080.JPG,241416.2048,3707436.611,1420.423,241415.7452,3707434.106,1378.23839
TIN - KhorramAbad - 14020519 -000081.JPG,241437.8839,3707435.931,1420.423,241442.7361,3707433.293,1378.244394
TIN - KhorramAbad - 14020519 -000082.JPG,241470.3625,3707435.008,1420.423,241469.9281,3707432.53,1378.2303
TIN - KhorramAbad - 14020519 -000083.JPG,241491.9165,3707434.384,1420.423,241496.84,3707431.746,1378.29442
TIN - KhorramAbad - 14020519 -000084.JPG,241524.4496,3707433.469,1420.423,241523.796,3707431.008,1378.419387
TIN - KhorramAbad - 14020519 -000085.JPG,241546.062,3707432.902,1420.423,241551.1184,3707430.322,1378.512848
TIN - KhorramAbad - 14020519 -000086.JPG,241578.4886,3707432.064,1420.423,241577.9306,3707429.635,1378.569104
TIN - KhorramAbad - 14020519 -000087.JPG,241600.014,3707431.528,1420.323,241604.7988,3707429.148,1378.664016
TIN - KhorramAbad - 14020519 -000088.JPG,241613.3823,3707431.493,1420.223,241613.6216,3707427.935,1378.814413
TIN - KhorramAbad - 14020519 -000089.JPG,241614.0853,3707382.499,1420.523,241611.2548,3707380.288,1377.947096
TIN - KhorramAbad - 14020519 -000090.JPG,241595.066,3707384.856,1420.723,241586.3221,3707382.455,1377.289296
TIN - KhorramAbad - 14020519 -000091.JPG,241567.2192,3707385.164,1420.723,241557.7971,3707382.843,1376.65181
TIN - KhorramAbad - 14020519 -000092.JPG,241536.4105,3707385.829,1420.723,241530.8307,3707383.392,1376.255138
TIN - KhorramAbad - 14020519 -000093.JPG,241505.1336,3707386.473,1420.623,241503.7152,3707383.962,1375.865127
TIN - KhorramAbad - 14020519 -000094.JPG,241483.5473,3707387.344,1420.623,241476.246,3707384.986,1375.545441
TIN - KhorramAbad - 14020519 -000095.JPG,241451.1489,3707388.086,1420.523,241449.1337,3707385.594,1375.316572
TIN - KhorramAbad - 14020519 -000096.JPG,241429.6544,3707388.619,1420.523,241422.3004,3707386.275,1375.193845
TIN - KhorramAbad - 14020519 -000097.JPG,241397.2028,3707389.4,1420.523,241395.2067,3707386.912,1375.037345
TIN - KhorramAbad - 14020519 -000098.JPG,241375.5978,3707389.958,1420.523,241368.2125,3707387.709,1374.986026
TIN - KhorramAbad - 14020519 -000099.JPG,241343.1006,3707390.965,1420.423,241341.4232,3707388.456,1374.953674
TIN - KhorramAbad - 14020519 -000100.JPG,241321.7059,3707391.464,1420.523,241314.6326,3707389.094,1374.734694
TIN - KhorramAbad - 14020519 -000101.JPG,241290.4871,3707392.45,1420.623,241287.8066,3707389.954,1374.424878
TIN - KhorramAbad - 14020519 -000102.JPG,241270.2482,3707392.977,1420.623,241261.0717,3707390.762,1374.037584
TIN - KhorramAbad - 14020519 -000103.JPG,241240.6381,3707394.018,1420.523,241234.0934,3707391.562,1373.703438
TIN - KhorramAbad - 14020519 -000104.JPG,241211.4479,3707394.527,1420.523,241206.8932,3707392.068,1373.571661
TIN - KhorramAbad - 14020519 -000105.JPG,241180.8322,3707395.456,1420.523,241179.8742,3707392.893,1373.545938
TIN - KhorramAbad - 14020519 -000106.JPG,241160.4166,3707395.56,1420.423,241152.564,3707393.117,1373.65488
TIN - KhorramAbad - 14020519 -000107.JPG,241128.4665,3707396.544,1420.323,241125.5073,3707394.054,1373.872517
TIN - KhorramAbad - 14020519 -000108.JPG,241107.0395,3707397.286,1420.423,241098.7852,3707394.962,1373.773729
TIN - KhorramAbad - 14020519 -000109.JPG,241076.7229,3707398.288,1420.423,241072.1333,3707395.759,1373.574709
TIN - KhorramAbad - 14020519 -000110.JPG,241046.3545,3707398.896,1420.523,241044.8868,3707396.331,1373.533504
TIN - KhorramAbad - 14020519 -000111.JPG,241026.151,3707399.399,1420.423,241018.0708,3707397.016,1373.490774
TIN - KhorramAbad - 14020519 -000112.JPG,240996.2286,3707400.452,1420.523,240991.2259,3707398.046,1373.22649
TIN - KhorramAbad - 14020519 -000113.JPG,240966.7532,3707401.216,1420.423,240964.0187,3707398.695,1373.084342
TIN - KhorramAbad - 14020519 -000114.JPG,240946.8946,3707402.051,1420.523,240937.2876,3707399.601,1372.890523
TIN - KhorramAbad - 14020519 -000115.JPG,240917.6938,3707402.746,1420.523,240910.2104,3707400.397,1372.703474
TIN - KhorramAbad - 14020519 -000116.JPG,240888.4566,3707403.337,1420.323,240883.0572,3707400.863,1372.989045
TIN - KhorramAbad - 14020519 -000117.JPG,240873.8629,3707403.168,1419.923,240870.3478,3707399.143,1373.776096
TIN - KhorramAbad - 14020519 -000118.JPG,240874.998,3707354.14,1419.923,240876.692,3707351.182,1375.219561
TIN - KhorramAbad - 14020519 -000119.JPG,240894.619,3707354.751,1420.123,240900.0068,3707351.942,1375.788362
TIN - KhorramAbad - 14020519 -000120.JPG,240925.974,3707354.211,1420.223,240927.9469,3707351.427,1376.054393
TIN - KhorramAbad - 14020519 -000121.JPG,240947.8481,3707353.565,1420.223,240955.362,3707350.604,1376.268311
TIN - KhorramAbad - 14020519 -000122.JPG,240980.1942,3707352.499,1420.323,240982.1897,3707349.57,1376.385078
TIN - KhorramAbad - 14020519 -000123.JPG,241002.0778,3707351.63,1420.223,241009.6511,3707348.64,1376.801689
TIN - KhorramAbad - 14020519 -000124.JPG,241034.4474,3707350.866,1420.223,241036.3304,3707348.007,1377.076448
TIN - KhorramAbad - 14020519 -000125.JPG,241056.071,3707350.224,1420.123,241063.2836,3707347.236,1377.554801
TIN - KhorramAbad - 14020519 -000126.JPG,241088.4603,3707349.425,1420.223,241090.2342,3707346.602,1377.878299
TIN - KhorramAbad - 14020519 -000127.JPG,241110.9991,3707349.089,1420.223,241117.114,3707346.21,1378.041899
TIN - KhorramAbad - 14020519 -000128.JPG,241143.3092,3707348.132,1420.323,241144.049,3707345.275,1378.205713
TIN - KhorramAbad - 14020519 -000129.JPG,241164.521,3707347.455,1420.423,241170.6363,3707344.539,1378.134448
TIN - KhorramAbad - 14020519 -000130.JPG,241195.9025,3707346.748,1420.523,241197.6447,3707344.006,1377.874039
TIN - KhorramAbad - 14020519 -000131.JPG,241217.0542,3707346.724,1420.723,241224.7119,3707343.7,1377.318263
TIN - KhorramAbad - 14020519 -000132.JPG,241279.4431,3707344.372,1420.523,241278.4235,3707341.588,1376.703611
TIN - KhorramAbad - 14020519 -000133.JPG,241300.5923,3707343.675,1420.523,241305.6671,3707340.935,1376.493253
TIN - KhorramAbad - 14020519 -000134.JPG,241332.304,3707342.855,1420.423,241333.0909,3707340.024,1376.374422
TIN - KhorramAbad - 14020519 -000135.JPG,241353.6887,3707342.171,1420.423,241360.0922,3707339.326,1376.347146
TIN - KhorramAbad - 14020519 -000136.JPG,241386.428,3707341.416,1420.323,241387.7126,3707338.634,1376.664569
TIN - KhorramAbad - 14020519 -000137.JPG,241408.0866,3707340.832,1420.223,241414.5786,3707337.898,1376.853684
TIN - KhorramAbad - 14020519 -000138.JPG,241441.5811,3707339.814,1420.123,241441.3884,3707337.06,1377.126534
TIN - KhorramAbad - 14020519 -000139.JPG,241463.2855,3707339.103,1420.223,241468.7632,3707336.181,1377.416607
TIN - KhorramAbad - 14020519 -000140.JPG,241495.7216,3707338.412,1420.223,241495.2601,3707335.714,1377.695079
TIN - KhorramAbad - 14020519 -000141.JPG,241517.2342,3707337.876,1420.223,241522.5317,3707335.004,1377.90253
TIN - KhorramAbad - 14020519 -000142.JPG,241549.5375,3707337.34,1420.323,241549.2387,3707334.64,1377.803003
TIN - KhorramAbad - 14020519 -000143.JPG,241571.1731,3707336.668,1420.523,241576.266,3707333.946,1377.609425
TIN - KhorramAbad - 14020519 -000144.JPG,241603.4047,3707335.965,1420.423,241603.4015,3707333.177,1377.445613
TIN - KhorramAbad - 14020519 -000145.JPG,241621.1161,3707334.649,1420.323,241619.2025,3707332.147,1377.830288
TIN - KhorramAbad - 14020519 -000146.JPG,241618.3691,3707286.894,1420.523,241616.024,3707284.315,1377.096908
TIN - KhorramAbad - 14020519 -000148.JPG,241568.3789,3707289.667,1420.523,241562.8819,3707286.862,1376.412777
TIN - KhorramAbad - 14020519 -000149.JPG,241537.4684,3707290.208,1420.623,241535.8364,3707287.363,1376.013213
TIN - KhorramAbad - 14020519 -000150.JPG,241516.897,3707290.676,1420.623,241508.7948,3707287.918,1375.644477
TIN - KhorramAbad - 14020519 -000151.JPG,241485.7515,3707291.514,1420.623,241482.069,3707288.706,1375.221006
TIN - KhorramAbad - 14020519 -000152.JPG,241465.3889,3707292.155,1420.623,241454.7981,3707289.509,1374.812256
TIN - KhorramAbad - 14020519 -000153.JPG,241434.6099,3707292.882,1420.523,241427.8066,3707290.124,1374.707104
TIN - KhorramAbad - 14020519 -000154.JPG,241403.1158,3707293.535,1420.423,241400.6519,3707290.672,1374.631479
TIN - KhorramAbad - 14020519 -000155.JPG,241381.4081,3707294.03,1420.423,241373.6884,3707291.273,1374.525878
TIN - KhorramAbad - 14020519 -000156.JPG,241348.3997,3707294.487,1420.223,241346.2966,3707291.596,1374.78692
TIN - KhorramAbad - 14020519 -000157.JPG,241326.5653,3707294.98,1420.023,241318.9272,3707292.326,1375.477441
TIN - KhorramAbad - 14020519 -000158.JPG,241295.0155,3707295.965,1420.023,241292.0081,3707293.076,1376.109226
TIN - KhorramAbad - 14020519 -000159.JPG,241273.7736,3707296.39,1420.323,241265.4157,3707293.7,1376.292951
